Mon Jul  1 15:37:16 2024    output.prof

         31094020 function calls (30269907 primitive calls) in 394.255 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7865    0.007    0.000    0.320    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:1161(__iter__)
     1248    0.011    0.000    0.309    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:1199(update)
    97801    0.038    0.000    0.305    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:454(_repr)
  699/453    0.001    0.000    0.300    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:261(refresh)
       77    0.001    0.000    0.299    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:413(__init__)
     1255    0.004    0.000    0.295    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:1326(refresh)
        9    0.080    0.009    0.280    0.031 {method 'flush_events' of '_macosx.FigureCanvas' objects}
     1262    0.004    0.000    0.280    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:1465(display)
     2100    0.003    0.000    0.270    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:206(_pprint_dict)
      358    0.001    0.000    0.267    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:233(__repr__)
        1    0.000    0.000    0.264    0.264 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1617(_start)
      358    0.001    0.000    0.264    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:207(_get_body_lines)
       17    0.002    0.000    0.264    0.016 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1433(dispatch_one_batch)
      358    0.001    0.000    0.263    0.001 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/module.py:212(<listcomp>)
       32    0.000    0.000    0.263    0.008 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1379(draw)
      699    0.006    0.000    0.262    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
225417/111681    0.077    0.000    0.262    0.000 {method 'format' of 'str' objects}
191381/97801    0.040    0.000    0.262    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:463(format)
       16    0.000    0.000    0.261    0.016 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1388(_dispatch)
      719    0.004    0.000    0.260    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:71(run)
       16    0.001    0.000    0.260    0.016 /opt/homebrew/lib/python3.11/site-packages/joblib/_parallel_backends.py:586(apply_async)
       16    0.001    0.000    0.260    0.016 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/reusable_executor.py:223(submit)
       16    0.000    0.000    0.258    0.016 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1223(submit)
      309    0.000    0.000    0.256    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:719(add_linking_library)
      825    0.000    0.000    0.254    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1013(__str__)
      825    0.000    0.000    0.253    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1006(descr)
      144    0.003    0.000    0.252    0.002 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
       16    0.001    0.000    0.244    0.015 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1216(_ensure_executor_running)
191381/97801    0.088    0.000    0.240    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:551(_safe_repr)
   786628    0.235    0.000    0.235    0.000 {method 'dot' of 'numpy.ndarray' objects}
      117    0.001    0.000    0.233    0.002 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:999(descr_body)
123746/52690    0.031    0.000    0.233    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/_utils.py:44(__str__)
     2944    0.002    0.000    0.232    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1172(descr)
    70616    0.044    0.000    0.231    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:209(broadcast)
     2944    0.004    0.000    0.227    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:1174(<listcomp>)
        1    0.006    0.006    0.227    0.227 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1186(_adjust_process_count)
    34660    0.088    0.000    0.224    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/instructions.py:13(__init__)
       56    0.001    0.000    0.216    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/np/npyimpl.py:335(numpy_ufunc_kernel)
    24758    0.072    0.000    0.215    0.000 {built-in method builtins.sorted}
282373/48573    0.156    0.000    0.211    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:317(_rec_list_vars)
        1    0.009    0.009    0.210    0.210 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:144(read_shape_model)
5351/3349    0.006    0.000    0.208    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:981(__get__)
     2100    0.037    0.000    0.206    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:377(_format_dict_items)
   663045    0.203    0.000    0.203    0.000 {built-in method numpy.array}
    35548    0.032    0.000    0.202    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:544(_to_string)
        8    0.000    0.000    0.200    0.025 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backend_bases.py:1226(_on_timer)
        8    0.000    0.000    0.200    0.025 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:69(callback_func)
        8    0.000    0.000    0.200    0.025 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:79(_draw_idle)
      346    0.002    0.000    0.199    0.001 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:163(<lambda>)
      108    0.000    0.000    0.197    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:732(add_llvm_module)
      346    0.011    0.000    0.197    0.001 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:144(update)
     4431    0.038    0.000    0.196    0.000 {built-in method builtins.sum}
29660/29462    0.015    0.000    0.196    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        8    0.003    0.000    0.196    0.024 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/process.py:110(start)
       27    0.000    0.000    0.195    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:301(create_cfunc_wrapper)
       27    0.000    0.000    0.195    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:193(create_cfunc_wrapper)
      128    0.001    0.000    0.195    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.004    0.000    0.192    0.024 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/backend/process.py:39(_Popen)
    30409    0.012    0.000    0.185    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:76(__exit__)
    39693    0.008    0.000    0.185    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/ir.py:350(list_vars)
      108    0.002    0.000    0.185    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:651(_optimize_functions)
  180/132    0.001    0.000    0.184    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1555(_get_tick)
    43483    0.018    0.000    0.184    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:537(__init__)
   183920    0.084    0.000    0.182    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:243(notify)
    35308    0.023    0.000    0.181    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:404(end_event)
     1262    0.009    0.000    0.180    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:1151(__str__)
        8    0.004    0.000    0.180    0.022 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:43(__init__)
     1666    0.103    0.000    0.180    0.000 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:117(__init__)
        8    0.017    0.002    0.175    0.022 /opt/homebrew/lib/python3.11/site-packages/joblib/externals/loky/backend/popen_loky_posix.py:92(_launch)
       71    0.000    0.000    0.175    0.002 /opt/homebrew/lib/python3.11/site-packages/pyvista/__init__.py:62(__getattr__)
       16    0.000    0.000    0.173    0.011 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axes/_base.py:2943(_update_title_position)
    30409    0.009    0.000    0.172    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1246(exit_fn)
      144    0.000    0.000    0.171    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1606(get_major_ticks)
        1    0.000    0.000    0.171    0.171 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/__init__.py:1(<module>)
    56/39    0.000    0.000    0.170    0.004 {built-in method builtins.__import__}
     3786    0.003    0.000    0.167    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/utils.py:377(disp_len)
    45323    0.096    0.000    0.167    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/values.py:557(_set_name)
     9566    0.009    0.000    0.166    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/builder.py:967(extract_value)
     1262    0.031    0.000    0.165    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/std.py:467(format_meter)
    31/29    0.000    0.000    0.164    0.006 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:389(get_call_type)
       12    0.000    0.000    0.164    0.014 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1076(_get_signature)
        8    0.000    0.000    0.164    0.020 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:1134(generic)
       81    0.003    0.000    0.163    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/interpreter.py:1352(interpret)
     3786    0.003    0.000    0.161    0.000 /opt/homebrew/lib/python3.11/site-packages/tqdm/utils.py:373(_text_width)
      802    0.025    0.000    0.160    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/analysis.py:23(compute_use_defs)
       16    0.000    0.000    0.160    0.010 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1320(get_tightbbox)
       29    0.001    0.000    0.156    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/np/npyimpl.py:229(_build_array)
     2441    0.006    0.000    0.155    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/runtime/context.py:360(_call_incref_decref)
       77    0.000    0.000    0.153    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:79(run_pass)
     9566    0.007    0.000    0.152    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/ir/instructions.py:666(__init__)
9676/8326    0.003    0.000    0.149    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
       77    0.001    0.000    0.148    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/untyped_passes.py:212(run_pass)
       16    0.000    0.000    0.148    0.009 /opt/homebrew/lib/python3.11/site-packages/matplotlib/legend.py:751(draw)
      128    0.000    0.000    0.145    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
1939476/1939472    0.112    0.000    0.145    0.000 {built-in method builtins.isinstance}
    30409    0.012    0.000    0.144    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:70(__enter__)
     5262    0.003    0.000    0.144    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/datamodel/models.py:629(get)
8644/2441    0.011    0.000    0.138    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/runtime/context.py:343(get_meminfos)
    35308    0.023    0.000    0.138    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/event.py:390(start_event)
      719    0.000    0.000    0.135    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:42(usedefs)
      158    0.005    0.000    0.134    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/rewrites/registry.py:54(apply)
   786630    0.101    0.000    0.133    0.000 /opt/homebrew/lib/python3.11/site-packages/numpy/linalg/linalg.py:140(isComplexType)
    30409    0.008    0.000    0.130    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1243(enter_fn)
