Time of Day (radians), Surface Temperature (K)
   1.29434,  50.50267
   1.29559,  50.50025
   1.29685,  50.49784
   1.29811,  50.49542
   1.29936,  50.49300
   1.30062,  50.49059
   1.30188,  50.48818
   1.30313,  50.48577
   1.30439,  50.48336
   1.30565,  50.48095
   1.30690,  50.47854
   1.30816,  50.47613
   1.30942,  50.47373
   1.31067,  50.47132
   1.31193,  50.46892
   1.31319,  50.46652
   1.31444,  50.46412
   1.31570,  50.46172
   1.31696,  50.45932
   1.31821,  50.45692
   1.31947,  50.45452
   1.32073,  50.45213
   1.32198,  50.44973
   1.32324,  50.44734
   1.32450,  50.44495
   1.32575,  50.44256
   1.32701,  50.44017
   1.32827,  50.43778
   1.32952,  50.43539
   1.33078,  50.43300
   1.33204,  50.43062
   1.33329,  50.42823
   1.33455,  50.42585
   1.33581,  50.42347
   1.33706,  50.42108
   1.33832,  50.41870
   1.33958,  50.41633
   1.34083,  50.41395
   1.34209,  50.41157
   1.34335,  50.40919
   1.34460,  50.40682
   1.34586,  50.40445
   1.34711,  50.40207
   1.34837,  50.39970
   1.34963,  50.39733
   1.35088,  50.39496
   1.35214,  50.39259
   1.35340,  50.39023
   1.35465,  50.38786
   1.35591,  50.38550
   1.35717,  50.38313
   1.35842,  50.38077
   1.35968,  50.37841
   1.36094,  50.37605
   1.36219,  50.37369
   1.36345,  50.37133
   1.36471,  50.36897
   1.36596,  50.36661
   1.36722,  50.36426
   1.36848,  50.36191
   1.36973,  50.35955
   1.37099,  50.35720
   1.37225,  50.35485
   1.37350,  50.35250
   1.37476,  50.35015
   1.37602,  50.34780
   1.37727,  50.34546
   1.37853,  50.34311
   1.37979,  50.34077
   1.38104,  50.33842
   1.38230,  50.33608
   1.38356,  50.33374
   1.38481,  50.33140
   1.38607,  50.32906
   1.38733,  50.32672
   1.38858,  50.32438
   1.38984,  50.32205
   1.39110,  50.31971
   1.39235,  50.31738
   1.39361,  50.31505
   1.39487,  50.31271
   1.39612,  50.31038
